delta_time,x_bias,y_bias,spot_1_bias,spot_2_bias,spot_3_bias,spot_4_bias,spot_5_bias,spot_6_bias,spot_1_bias_xycorr,spot_2_bias_xycorr,spot_3_bias_xycorr,spot_4_bias_xycorr,spot_5_bias_xycorr,spot_6_bias_xycorr,total_sigma,rgt_corr_sigma,spot_corr_sigma,xy_corr_sigma
24796808.8931338,10.281887091421625,3.699830063026195,-0.07391771818557605,0.027694291165617415,-0.02165244819598553,0.012144810332112916,0.011379679683327492,0.04435138520050488,-0.020428586368275752,0.025794643302311748,0.006131317775369039,-0.015595537886408647,0.013502853180770453,-0.009404690003767029,0.07196312185601147,0.069957415826176,0.04384327947836483,0.04935635146651295
24926888.29118596,8.724147612603652,4.164365596347279,-0.08227145158034743,0.023963720757066556,-0.012782539231404544,0.013748676846280406,0.012646979905672135,0.04469461330273487,-0.029701907818593744,0.027995903709895117,0.010374292338513426,-0.009618576985801682,0.008057751615618012,-0.007107462859686741,0.0834719245939517,0.07599063283096778,0.046591942374086655,0.05391478535251901
25141871.438425474,6.279680246823622,4.586697951239953,-0.07754269478795564,0.013378427650616495,-0.0039373209064849785,0.006810746089610679,0.019056655506703976,0.04223418644751055,-0.029352325939044608,0.02656155237019791,0.013477400223747132,-0.010653163738951575,0.005708800406112915,-0.005742263322062082,0.0818511964280778,0.075442416703638,0.04985313037758882,0.05590541188624085
25402114.441028334,4.459272433574329,4.616736501683463,-0.06746384078941775,0.002282048941801509,0.004375223810573258,0.0002999086148816213,0.025528627628236468,0.03497803179392403,-0.023400071952622167,0.021395483179744743,0.016895543102610492,-0.012244459176921454,0.006553205648499817,-0.00919970080132497,0.06747955456335528,0.06550195408592233,0.0455595875176233,0.05077298583899108
25662352.589144588,4.083370013391719,4.807368038103379,-0.06783600610116976,-0.0014557414706480127,0.006670700294997152,-0.00030329971510616486,0.026512232687793937,0.03641211430413512,-0.023228200444735066,0.02020775978739821,0.018173547615839745,-0.011833025240641257,0.0049620858796321915,-0.008282167597443057,0.06473355172979213,0.06286076551802541,0.040399638636026095,0.04604771342780947
25931214.770109057,3.5529288607295513,4.404531918381042,-0.058114569464637306,-0.00044805423753363445,-0.004883574131132988,0.00072333028621715,0.024333066259893867,0.03838980128719238,-0.017585949785275695,0.020157765720950804,0.005020179829773039,-0.009155100173019978,0.0036877509570654578,-0.0021246465495059017,0.08611770402550482,0.0787561684130576,0.04336309260227762,0.046608335394727626
26180034.374466844,4.4048025764615915,4.269253052636581,-0.05523452338374692,0.0015926286022452882,-0.010487441310298589,0.0014275495306496232,0.024269827019755975,0.0384319595413901,-0.013435100382468474,0.018532423895138997,0.0015879184821245035,-0.0108903907837889,0.007183703781776769,-0.0029785549928084214,0.08517933186367656,0.07868834639103618,0.04518240238117911,0.04769143854500066
26448878.138094626,4.929093884278763,4.954301182941489,-0.06676547304340893,-0.004109942772625119,-0.0012285605506976323,0.006279434157414032,0.026266989286607416,0.03955755292270785,-0.01913187752731277,0.015879903737287024,0.012620101945047497,-0.007533930007312903,0.006351926709314739,-0.008186124856971714,0.07025094196265473,0.06747683002529767,0.04427082249327162,0.047542472484151325
26700493.623832192,3.5922650799392026,4.196632224579208,-0.04416536662299663,-0.014513796341575525,-0.008685242386312434,0.00915232407543215,0.02192026776180847,0.03629181351364528,-0.005205984239124993,0.004174016290557283,0.0014850123769603195,-0.0010008578676827307,0.003283563016135251,-0.002735749576845842,0.06521526209264983,0.06151369496016049,0.04514173858252307,0.045243352107773076
26957908.445315365,3.2588200888439554,3.1520819948464665,-0.024629519187284038,-0.01373822501713008,-0.019897417754028063,0.010022011478658287,0.016677492768389313,0.03156565771139465,0.005969620939707843,-0.0013961881478596735,-0.010736415377851742,0.0008890607770055508,0.004374764255168022,0.0008991575538351851,0.06275868910827585,0.054897280035706895,0.04355127716572564,0.04398983746205707
27224014.46055337,3.623645831138659,2.7143780485377844,-0.025169498071965144,-0.0030813486289898947,-0.021785716164661562,0.005488589349109398,0.016429522163081797,0.02811845135342324,0.003108087499149919,0.005100744934356405,-0.011742690616610157,-0.004571655068210568,0.008312405374758348,-0.0002068921234592073,0.06160015542622627,0.05218054282269675,0.04206259452555497,0.04280249083901189
27475557.153286245,3.9591287627861873,2.9681293899793078,-0.03873069948372316,0.006500737569239824,-0.015227747776055803,-0.00015722779422634538,0.020738870753940035,0.0268760667308275,-0.007801135027360658,0.015474140606316383,-0.004257823282462892,-0.011169218568648848,0.011849739141171454,-0.004095702869001182,0.057837633254410506,0.05291542774666423,0.04042729158765548,0.042619127423571164
