,delta_time,x_bias,y_bias,total_sigma,rgt_corr_sigma,xy_corr_sigma
0,24819596.548051253,9.258485398606178,3.747872037191336,0.069445622355771,0.0694887273243385,0.0520717167435701
1,24881791.0418864,6.330477406582998,3.984352299628007,0.1731237983408834,0.17319310326099,0.0603568251965502
2,25011865.70762094,5.449741871879483,4.624979522166537,0.1590007603438802,0.1590657179753972,0.0620815648960628
3,25142014.586491257,7.765017166966476,4.97601037898474,0.0771129184778694,0.077158305478357,0.0599245007514643
4,25272150.21891067,4.656190664786235,4.449935944783663,0.0718013003274606,0.0728981428360909,0.0612991226686612
5,25402241.08460576,1.349040819218812,4.142539082877195,0.0625831051754225,0.062589388496317,0.0523952385373154
6,25532337.577658843,1.6897866601326472,4.435916253331507,0.0632837637847919,0.0635464411042325,0.0518869795650408
7,25665310.442875933,2.173348716782196,4.7453208451325954,0.0658775923832423,0.0660733274821806,0.0530354035025884
8,25798258.22150312,3.1077577739362447,4.962997304988096,0.0659855337309062,0.0664068316971918,0.0514554832302638
9,25917041.35989729,2.5810795376705165,4.184381795498723,0.065864175794536,0.0658951419217668,0.0554447994289058
10,26050015.3055594,0.7336975257575432,3.4390610045371366,0.0748493930742345,0.0753512995812743,0.0589231141623297
11,26177306.92175305,1.1077561674351302,4.063642319230206,0.0768028251864314,0.0768809924943813,0.054483668442797
12,26310259.471377738,3.899480918494541,5.000192127954469,0.0661800967171526,0.0661856819544946,0.0504091529747449
13,26437556.961937018,3.657939781870708,5.389773594495978,0.0688225008876907,0.0688296891821977,0.0513578748922962
14,26570487.249860648,2.8486818325812315,5.209864122013357,0.0668789482995886,0.0668929946932014,0.0504003463400758
15,26694987.879730526,2.2629435390000285,4.5401719052652485,0.0616042758897578,0.0616788010064921,0.0484112944044915
16,26827877.296992783,1.437270597071767,3.818540436262113,0.0594238143700147,0.0599724337553064,0.0506165582011382
17,26958065.19257216,1.2144186091159077,3.0572803277106333,0.0584419246851993,0.058535297362056,0.0524050127176706
18,27093797.42443461,1.9554698835087008,2.592289361066254,0.0573478133983392,0.057369613170611,0.052624275839674
19,27184330.403445102,1.7416666979419002,2.6338715605417407,0.0543239021493022,0.0543761089440862,0.049422909490013
20,27345556.384545986,2.68855746121878,2.990179162952801,0.0536854413055678,0.0537765862961943,0.046819736606797
21,27486983.78436967,2.898623320412906,3.106881390014151,0.0537856280542745,0.0538548882011779,0.0463163814227445
22,27605782.744832102,2.3934099666190134,3.269396580248624,0.054060066194594,0.0540681537968597,0.0461565141952544
23,27733092.563679915,1.6700653366508045,3.49341486110224,0.057056186937821,0.05739384823009,0.049343577259918
24,27863211.049473017,0.8422741491950672,3.728961051257945,0.0609500472609354,0.0614657829506826,0.0530590728173343
25,27993326.98141008,1.5861570789197068,3.6054752479239545,0.0641031375366956,0.0656301552668468,0.0582820096267512
26,28123430.678874098,3.7906004921639833,3.1210486780658218,0.0591719424220019,0.0593232308327946,0.0520156405555651
27,28253575.85240076,3.957366186836981,3.195981948461468,0.0570851796849481,0.0572459865522484,0.0491657167836285
28,28383697.7278692,3.820348158080863,3.418329276089624,0.0573026384748745,0.057424282450897,0.0486110059783933
29,28513797.209335595,4.381563252091922,3.33473184207497,0.0568503875285135,0.0568934054159302,0.0476898621553753
30,28643848.27598712,4.794483186941085,3.197903482383647,0.0561327428674801,0.0561464400750591,0.0468545780308813
