,delta_time,x_bias,y_bias
0,24819586.29641579,10.412656580554243,3.6811171735417263
1,25078786.29641579,7.5923982419238865,4.8727492026633294
2,25337986.29641579,4.023574534137269,4.311801875278005
3,25597186.29641579,2.8828102299270757,4.585718713854717
4,25856386.29641579,3.831256656490314,4.5777949915536595
5,26115586.29641579,1.9367425887809666,3.7528444087983805
6,26374786.29641579,4.832517971229989,5.269773252537811
7,26633986.29641579,3.668249112742557,4.975027931615668
8,26893186.29641579,2.3098353053919163,3.5085436493708766
9,27152386.29641579,2.9029823239045585,2.7915006928705446
10,27411586.29641579,3.8565782400980453,3.121584999533328
11,27670786.29641579,3.0762770542779183,3.44663275753791
12,27929986.29641579,2.154248245801807,3.7091341923731385
13,28189186.29641579,4.911540780971701,3.2750507868380967
14,28448386.29641579,5.1056536389601455,3.4097303283549185
15,28707586.29641579,5.750250162792982,3.135822536745592
16,28966786.29641579,5.442847950887447,2.9149622640708768
17,29225986.29641579,5.833267636777085,2.386514713944522
18,29485186.29641579,6.208758296982236,1.9559380264712027
19,29744386.29641579,5.859324656791107,1.5176140412672439
20,30003586.29641579,5.5266622183948275,0.9490587934304343
21,30262786.29641579,5.666584767028774,0.1860597160072908
22,30521986.29641579,4.116860853768253,0.14553335872224338
23,30781186.29641579,4.020683628574314,1.163225136264809
24,31040386.29641579,4.351510736658008,1.5612955874802241
25,31299586.29641579,1.0475217303247435,0.08846196844217671
26,31558786.29641579,0.43069646347078416,-0.2093228357998075
27,31817986.29641579,-0.6214322010656265,-0.5871213263389776
28,32077186.29641579,-1.3982470945451866,-1.1580630748386918
29,32336386.29641579,-1.859748709574511,-1.4358445025926907
30,32595586.29641579,-1.7832923101076135,-1.7994605029177733
31,32854786.29641579,-1.463351911836362,-1.4238370763479975
32,33113986.29641579,-1.1264875777500483,-1.2368969669105128
33,33373186.29641579,-0.59841481758228,-0.45008780252764696
34,33632386.29641579,-1.006651010190005,-0.5676342073936362
35,33891586.29641579,-1.2150697109456854,-1.6489262996966656
36,34150786.29641579,-1.3259893451033309,-3.770469841341026
37,34409986.29641579,-1.7911771691790468,-4.519325823039781
38,34669186.29641579,-2.568513490369511,-4.418877765159461
39,34928386.29641579,-2.684661306694879,-4.342256066071539
40,35187586.29641579,-1.8184057841179184,-3.6606430206929117
41,35446786.29641579,-1.1770841912135093,-2.9546132825274225
42,35705986.29641579,0.3829274355424734,-2.875812213455667
43,35965186.29641579,0.885242533226454,-4.148268036494267
44,36224386.29641579,-0.16615904377815396,-5.109221550332015
45,36483586.29641579,1.1674782296913266,-5.339265546165568
46,36742786.29641579,2.138818503304365,-5.388348544491167
47,37001986.29641579,1.2161937754440646,-5.391625933737785
48,37261186.29641579,1.3910718975699115,-5.240561342254363
49,37520386.29641579,1.603916487723887,-4.935238889001721
50,37779586.29641579,1.1344045220797194,-4.9097335794462404
51,38038786.29641579,0.7979952365338789,-5.357585661761903
52,38297986.29641579,1.8583903828903856,-5.540443409206665
53,38557186.29641579,1.8571820969220922,-4.718091836218794
54,38816386.29641579,1.7123155558112282,-3.648227837909803
55,39075586.29641579,-0.3004291911475693,-4.138683539844598
56,39334786.29641579,-0.09977214044747477,-3.021800835006678
57,39593986.29641579,-0.3493321891580814,-2.1977632478158267
58,39853186.29641579,-1.9277661753321471,-2.183705125979743
59,40112386.29641579,-1.7480364775786374,-0.9680153526088825
60,40371586.29641579,-1.6447254329546246,-2.2465562064687137
61,40630786.29641579,-2.0273367771726147,-1.4226292786912014
62,40889986.29641579,-0.15989971036478356,-0.6845498739205818
63,41149186.29641579,0.6711660759623972,-1.7220331370543067
64,41408386.29641579,0.6028128955465002,-2.109251900563915
65,41667586.29641579,-0.08744352053097582,-1.1261677137519692
66,41926786.29641579,-1.9021176523464605,-0.4517090259150814
67,42185986.29641579,-3.108036923374227,-2.482975857435979
68,42445186.29641579,-2.4100888465433368,-2.9496440292811266
69,42704386.29641579,-0.32666793452325693,-1.5718839370360442
70,42963586.29641579,-2.3404070588522843,-1.6568097196318399
71,43222786.29641579,-1.1605080708009874,-1.9523565489408958
72,43481986.29641579,-0.0028637091466510167,-0.23976354596182187
73,43741186.29641579,-0.5408569783351149,-1.1005728951814249
74,44000386.29641579,-1.028162771679173,-1.513876725798621
75,44259586.29641579,1.007058235982187,-0.9769021695340108
76,44518786.29641579,-0.25101949812214724,-2.2315166295435187
77,44777986.29641579,-1.734410966351144,-2.2647054322086766
78,45037186.29641579,-1.8958660568308177,-2.3379403896237196
79,45296386.29641579,-2.1847044007904914,-2.525745870764281
80,45555586.29641579,-2.4281330199110323,-2.458641770849503
81,45814786.29641579,-2.575002376706742,-2.3764685425854086
82,46073986.29641579,-1.9946145634264478,-2.1687883719765684
83,46333186.29641579,-2.340977215293966,-2.2660692700979927
84,46592386.29641579,-1.9185499398695685,-2.3197906032670152
85,46851586.29641579,-1.648453239053555,-2.0358826670660823
86,47110786.29641579,-1.8911375796409087,-1.5259047390504836
87,47369986.29641579,-2.1338219202282622,-1.0159268110348847
88,47629186.29641579,-2.376506260815616,-0.505948883019286
89,47888386.29641579,-2.6191906014029698,0.004029044996312514
90,48147586.29641579,-2.964173240400558,-1.9444340694383908
91,48406786.29641579,-3.998938688478598,-4.641015842725404
92,48665986.29641579,-4.474460858109729,-5.039758379693754
93,48925186.29641579,-3.842819990900958,-5.240704163219781
94,49184386.29641579,-2.3104560443555973,-4.67200148380026
95,49443586.29641579,-1.478425970492102,-1.0502643523874562
96,49702786.29641579,-3.2413078777793456,-0.43766458629978516
