delta_time,x_bias,y_bias,total_sigma,rgt_corr_sigma,xy_corr_sigma
24819586.29641579,10.412656580554243,3.6811171735417263,0.0700055458018812,0.07004769294661065,0.0500940552071902
24881791.419172414,6.793208667456219,4.039433149885411,0.17540887697946478,0.1755819131815515,0.05745724415298845
25011842.731271144,6.195817426364724,4.733975291269135,0.15950940021114843,0.15958981674338038,0.05935546931230989
25142067.010990217,8.91256444129736,5.003930030250535,0.07680204731401098,0.07681962346894519,0.05732223803904044
25272135.009895526,5.723890043009585,4.493037353994421,0.0714389412499163,0.07232191797555357,0.059264907013198996
25402251.0008489,2.364225425033911,4.134932977372429,0.06135659949940361,0.06137333912201839,0.05071010455278173
25532337.57766226,2.6007695365961725,4.413357650633441,0.06173994607048914,0.06206560220862469,0.04985012873222776
25665318.846777342,3.179132996386176,4.766807855568169,0.06417131988942482,0.06436393217581095,0.05018103303815362
25798245.539673075,4.026710294234039,4.942287446854731,0.06597731848233301,0.06643446423500791,0.050906978043158364
25917056.33935927,3.6273002365929004,4.197446090806679,0.06818191582160661,0.06819401812954792,0.057402692632772354
26050000.07392223,1.1911979731130382,3.406815992654937,0.07846608852795854,0.0791905826302614,0.05926766054748819
26177321.897411093,2.6385156619533268,4.078557209747785,0.08090583207299414,0.08107758794637406,0.050606594243276716
26310244.488246705,4.984537431563156,5.0379605418826126,0.06566881915354156,0.06569106628032513,0.04831094941173407
26437566.203178797,4.684648430282575,5.495257799287521,0.06867941581668253,0.06868332997312321,0.049530014233001685
26570482.494521033,3.9004449709410984,5.370201422627802,0.06784505194784476,0.06785696261527796,0.04996802758619666
26694996.5669718,3.445170624400154,4.595371267229349,0.060209214203831886,0.06027427047822821,0.04549816242952366
26827877.33082877,2.3357805067137605,3.8187016208283016,0.05746703780650173,0.05799794325525838,0.047956839219540005
26958069.591557354,2.284059209571972,3.2004072239705,0.05824301200208431,0.05834996700603221,0.05128551077019618
27096641.122307654,3.1424721241171487,2.7295003103173845,0.05676812747435387,0.05681655017914383,0.05095150446442031
27184334.736397207,2.765726935780541,2.827034091635826,0.05368544057418835,0.0537029995532762,0.047470011089409216
27345556.38454455,3.790394515859419,3.049910481935225,0.05354763299466437,0.053674486421257425,0.045553497832936225
27486983.784370217,3.9321513615765618,3.2034278859479035,0.05350226506071439,0.0535521193351856,0.04464343094813822
27605768.159038994,3.4279582415800705,3.33676272364724,0.053438484752961014,0.05344132197267398,0.04437211445989802
27733121.012222182,2.7391104151001358,3.5519682472109437,0.0567274546202457,0.05709986514576595,0.0482079392265385
27863136.49907144,1.762097387701572,3.7707684208735737,0.05955795692916538,0.06004293284143946,0.051044322073815214
27993336.51186999,2.525870035816083,3.6507265111240357,0.061956607900667274,0.06314654132013583,0.05495944001634588
28123413.38558246,4.790396138258344,3.2387129670246626,0.058010058921419666,0.05817339690010454,0.049145337158018346
28253584.411012508,5.030153238370795,3.3106290675450296,0.05626978121402667,0.056369913866004775,0.04633999147800181
28383664.533237662,4.870101486997805,3.442233912288713,0.05691606728139952,0.057025088281481104,0.04678333135866318
28513805.851644717,5.343745375926299,3.3768763098628285,0.05635496667757838,0.05642897213547755,0.04568331253641611
28643863.307388254,5.768926180309961,3.2108478354345165,0.055467620948467564,0.055495733996286725,0.04456452176351246
28771232.315097347,5.731596703846336,3.060887860346764,0.053813031233441964,0.05383209943275858,0.04323712570648494
28898526.08870697,5.366208823430499,3.0166803709864554,0.05396036027083808,0.053977131004545625,0.04419687641128154
29028629.996506535,5.512282946366538,2.8228057308719254,0.05503210752087501,0.05508187101273755,0.046099931620551794
29158728.667803757,5.8741803645648485,2.4761518208269635,0.05427504267182151,0.05434666779210728,0.04589164712320947
29288884.02875284,5.795007028208544,2.3026882265629767,0.05521468966737588,0.05529170993530183,0.04766664825010126
29410479.475148734,5.922311326202927,2.0829955491838046,0.05569409030983718,0.055698153898695445,0.04854942258783466
29549119.71479341,6.453897010090763,1.8472033537889019,0.05286747434929507,0.05299696104147658,0.04504606703612497
29699011.860280596,6.147787766801035,1.7023552669618498,0.053794338050031636,0.05384233673330271,0.04693532640605125
29809315.667571563,5.446543145219768,1.2532552385449942,0.05378782585690956,0.054054716893597664,0.04917863055164094
29939454.516938362,5.325021664789778,1.177375860691384,0.05395470248763659,0.05397553427836525,0.04935840529540519
30066741.911262956,5.725233554553237,0.7242169929929196,0.05207033379278795,0.052100088736040016,0.0471409557085603
30196853.729129016,5.668385202537641,0.35233819243733483,0.049130616207013304,0.0491370458289871,0.04414505085632248
30324171.637689102,5.664908503647863,0.031249105074020133,0.04758735927111733,0.04759456472888987,0.042433816167796075
30454260.159228504,4.81821523847598,-0.22731293912278122,0.050743620522615655,0.050757104392756866,0.04724140947451052
30590075.651717193,3.4117450760811,0.5203792468994856,0.048266254536305106,0.048271512263367296,0.04637929200301379
30714500.228188246,3.849195998973775,0.9535726930999893,0.045045457589025666,0.045255290761418404,0.042301432942404814
30844643.099697977,4.183866990048834,1.362725184732873,0.04515777282017418,0.045165754601581155,0.04109422046200015
30974736.88977147,4.285703909211228,1.6330520168422662,0.04862562174740248,0.04862902205119319,0.04418303573807406
31104887.930685297,4.416167039485015,1.4907937017850184,0.049975199023366265,0.05000923738108257,0.04582215963240489
31237801.790946368,1.7839446531993302,0.28111642985433877,0.047815810546570525,0.0478261394152616,0.04704556284673758
31365153.709622353,0.26600950954960234,-0.11598823442867866,0.041930294004982605,0.04195538737728438,0.041928402841134485
31492406.513339393,0.6144821731631722,-0.11872190351109149,0.03713566585817436,0.03717559840762677,0.037083765657231586
31622536.128851667,0.254192298286729,-0.29633418148757973,0.038747627883811,0.03875984091489836,0.03866640900599662
31749812.70995611,-0.4300353099572919,-0.36687213045946543,0.03981837605063692,0.03990828664820918,0.03976628503138016
